sector,category,count
Grid Infrastructure,Policy-Backed Capex,16
Grid Infrastructure,Electricity Demand,14
Grid Infrastructure,Grid Resilience,9
Grid Infrastructure,Margin/Earnings Risk,5
Grid Infrastructure,Oilfield Cost Pressure,5
Inverter & Storage Equipment,Oilfield Cost Pressure,175
Inverter & Storage Equipment,Oil Supply Disruption,141
Inverter & Storage Equipment,Margin/Earnings Risk,77
Oilfield Services,Oil Supply Disruption,2
Oilfield Services,Electricity Demand,1
Oilfield Services,Grid Resilience,1
Oilfield Services,Margin/Earnings Risk,1
Oilfield Services,Policy-Backed Capex,1
Other,Margin/Earnings Risk,2
Other,Policy-Backed Capex,2
Other,Grid Resilience,1
Other,Oil Supply Disruption,1
Other,Oilfield Cost Pressure,1
