variable,change_pct,value,eps_cny,eps_change_pct
overseas_mix,-30.0,0.175,0.98,-7.1
overseas_mix,-15.0,0.212,1.02,-3.6
overseas_mix,0.0,0.25,1.05,0.0
overseas_mix,15.0,0.288,1.09,3.6
overseas_mix,30.0,0.325,1.13,7.1
gross_margin,-30.0,0.126,-0.03,-102.9
gross_margin,-15.0,0.153,0.51,-51.4
gross_margin,0.0,0.18,1.05,0.0
gross_margin,15.0,0.207,1.6,51.4
gross_margin,30.0,0.234,2.14,102.9
r_and_d_pct,-30.0,0.035,1.35,28.6
r_and_d_pct,-15.0,0.042,1.2,14.3
r_and_d_pct,0.0,0.05,1.05,0.0
r_and_d_pct,15.0,0.057,0.9,-14.3
r_and_d_pct,30.0,0.065,0.75,-28.6
sg_and_a_pct,-30.0,0.063,1.6,51.4
sg_and_a_pct,-15.0,0.076,1.32,25.7
sg_and_a_pct,0.0,0.09,1.05,0.0
sg_and_a_pct,15.0,0.104,0.78,-25.7
sg_and_a_pct,30.0,0.117,0.51,-51.4
fx_cny_usd,-30.0,5.04,0.97,-7.5
fx_cny_usd,-15.0,6.12,1.01,-3.8
fx_cny_usd,0.0,7.2,1.05,0.0
fx_cny_usd,15.0,8.28,1.09,3.8
fx_cny_usd,30.0,9.36,1.13,7.5
